Data,classes,[beforeTest, beforeTestInterfaceAsField, beforetest2, beforeSubfolder2, afterAliasOfInt, afterRenderingOptionSlice, afterparserRenderingOption, afterMyType, afterBar, afterFoo, afterAlias, afterClassDiagramOptions, afterClassParser, afterField, afterFunction, afterLineStringBuilder, afterRenderingOptions, afterStruct, afterAliasSlice, afterRenderingOption, afterTest, afterTestInterfaceAsField, aftertest2, afterSubfolder2, afterSubfolderInterface, aftertest, afterTestComplicatedAlias, aftermyInt, afterDuration, afterBuilder, beforeBar, beforeFoo, beforeAlias, beforeClassDiagramOptions, beforeClassParser, beforeField, beforeFunction, beforeLineStringBuilder, beforeRenderingOptions, beforeStruct, beforeAliasSlice, beforeRenderingOption, beforeAbstractInterface, beforeImplementsAbstractInterface, beforeAliasOfInt, beforeRenderingOptionSlice, beforeparserRenderingOption, beforeMyType, beforeSubfolderInterface, beforetest, beforeTestComplicatedAlias, beforemyInt, beforeDuration, beforeBuilder, afterAbstractInterface, afterImplementsAbstractInterface]
Data,inheritance,aftertest --> aftertest2
aftertest,abstracts_deps_count,0
aftertest,concrete_deps_count,0
aftertest,afferent_count,0
aftertest,efferent_count,1
aftertest,instability_class,1.0
afterTestComplicatedAlias,abstracts_deps_count,0
afterTestComplicatedAlias,concrete_deps_count,0
afterTestComplicatedAlias,afferent_count,0
afterTestComplicatedAlias,efferent_count,0
afterTestComplicatedAlias,instability_class,0
aftermyInt,abstracts_deps_count,0
aftermyInt,concrete_deps_count,0
aftermyInt,afferent_count,0
aftermyInt,efferent_count,0
aftermyInt,instability_class,0
afterDuration,abstracts_deps_count,0
afterDuration,concrete_deps_count,0
afterDuration,afferent_count,1
afterDuration,efferent_count,0
afterDuration,instability_class,0.0
afterBuilder,abstracts_deps_count,0
afterBuilder,concrete_deps_count,0
afterBuilder,afferent_count,1
afterBuilder,efferent_count,0
afterBuilder,instability_class,0.0
beforeBar,abstracts_deps_count,0
beforeBar,concrete_deps_count,0
beforeBar,afferent_count,0
beforeBar,efferent_count,0
beforeBar,instability_class,0
beforeFoo,abstracts_deps_count,0
beforeFoo,concrete_deps_count,0
beforeFoo,afferent_count,0
beforeFoo,efferent_count,0
beforeFoo,instability_class,0
beforeAlias,abstracts_deps_count,0
beforeAlias,concrete_deps_count,0
beforeAlias,afferent_count,0
beforeAlias,efferent_count,0
beforeAlias,instability_class,0
beforeClassDiagramOptions,abstracts_deps_count,0
beforeClassDiagramOptions,concrete_deps_count,0
beforeClassDiagramOptions,afferent_count,0
beforeClassDiagramOptions,efferent_count,0
beforeClassDiagramOptions,instability_class,0
beforeClassParser,abstracts_deps_count,0
beforeClassParser,concrete_deps_count,0
beforeClassParser,afferent_count,0
beforeClassParser,efferent_count,0
beforeClassParser,instability_class,0
beforeField,abstracts_deps_count,0
beforeField,concrete_deps_count,0
beforeField,afferent_count,0
beforeField,efferent_count,0
beforeField,instability_class,0
beforeFunction,abstracts_deps_count,0
beforeFunction,concrete_deps_count,0
beforeFunction,afferent_count,0
beforeFunction,efferent_count,0
beforeFunction,instability_class,0
Data,composition,beforeLineStringBuilder --> beforeBuilder
beforeLineStringBuilder,abstracts_deps_count,0
beforeLineStringBuilder,concrete_deps_count,0
beforeLineStringBuilder,afferent_count,0
beforeLineStringBuilder,efferent_count,1
beforeLineStringBuilder,instability_class,1.0
beforeRenderingOptions,abstracts_deps_count,0
beforeRenderingOptions,concrete_deps_count,0
beforeRenderingOptions,afferent_count,0
beforeRenderingOptions,efferent_count,0
beforeRenderingOptions,instability_class,0
beforeStruct,abstracts_deps_count,0
beforeStruct,concrete_deps_count,0
beforeStruct,afferent_count,0
beforeStruct,efferent_count,0
beforeStruct,instability_class,0
beforeAliasSlice,abstracts_deps_count,0
